"","sname","paper_ID"
"246","MER","BAB246"
"247","MES","BAB247"
"248","MEX","BAB248"
"249","MIA","BAB249"
"250","MIC","BAB250"
"251","MLO","BAB251"
"252","MOH","BAB252"
"253","MON","BAB253"
"254","MUF","BAB254"
"255","MYS","BAB255"
"256","NAF","BAB256"
"257","NAG","BAB257"
"258","NAI","BAB258"
"259","NAK","BAB259"
"260","NAP","BAB260"
"261","NAR","BAB261"
"262","NAW","BAB262"
"263","NEA","BAB263"
"264","NEH","BAB264"
"265","NER","BAB265"
"266","NES","BAB266"
"267","NET","BAB267"
"268","NGA","BAB268"
"269","NIK","BAB269"
"270","NIO","BAB270"
"271","NIR","BAB271"
"272","NIX","BAB272"
"273","NJU","BAB273"
"274","NOB","BAB274"
"275","NOJ","BAB275"
"276","NOK","BAB276"
"277","NOM","BAB277"
"278","NON","BAB278"
"279","NOO","BAB279"
"280","NOP","BAB280"
"281","NOS","BAB281"
"282","NOZ","BAB282"
"283","NTA","BAB283"
"284","NUN","BAB284"
"285","NUT","BAB285"
"286","NUZ","BAB286"
"287","NYA","BAB287"
"288","NYS","BAB288"
"289","NYU","BAB289"
"290","OAS","BAB290"
"291","OBI","BAB291"
"292","OBL","BAB292"
"293","OCE","BAB293"
"294","OCT","BAB294"
"295","ODE","BAB295"
"296","OIL","BAB296"
"297","OKO","BAB297"
"298","OMO","BAB298"
"299","ONY","BAB299"
"300","OOZ","BAB300"
"301","OPA","BAB301"
"302","OPH","BAB302"
"303","OPR","BAB303"
"304","OPU","BAB304"
"305","ORI","BAB305"
"306","OXY","BAB306"
"307","OZO","BAB307"
"308","PAE","BAB308"
"309","PAI","BAB309"
"310","PAX","BAB310"
"311","PEB","BAB311"
"312","PEC","BAB312"
"313","PEM","BAB313"
"314","PHL","BAB314"
"315","PIT","BAB315"
"316","PIX","BAB316"
"317","POA","BAB317"
"318","POK","BAB318"
"319","POT","BAB319"
"320","POU","BAB320"
"321","POW","BAB321"
"322","PRU","BAB322"
"323","PSY","BAB323"
"324","RAG","BAB324"
"325","RAN","BAB325"
"326","RAZ","BAB326"
"327","RHA","BAB327"
"328","RHO","BAB328"
"329","RHU","BAB329"
"330","RIF","BAB330"
"331","RIG","BAB331"
"332","RIS","BAB332"
"333","RIV","BAB333"
"334","ROD","BAB334"
"335","ROW","BAB335"
"336","ROX","BAB336"
"337","RUB","BAB337"
"338","RUE","BAB338"
"339","RWA","BAB339"
"340","SAC","BAB340"
"341","SAD","BAB341"
"342","SAG","BAB342"
"343","SAH","BAB343"
"344","SAS","BAB344"
"345","SAT","BAB345"
"346","SAU","BAB346"
"347","SAW","BAB347"
"348","SCE","BAB348"
"349","SEB","BAB349"
"350","SEE","BAB350"
"351","SEI","BAB351"
"352","SEM","BAB352"
"353","SER","BAB353"
"354","SEW","BAB354"
"355","SNA","BAB355"
"356","SOK","BAB356"
"357","SOR","BAB357"
"358","SQU","BAB358"
"359","SUE","BAB359"
"360","TAB","BAB360"
"361","TAX","BAB361"
"362","TAY","BAB362"
"363","TEL","BAB363"
"364","THR","BAB364"
"365","TIV","BAB365"
"366","TOF","BAB366"
"367","TRI","BAB367"
"368","TRU","BAB368"
"369","TUS","BAB369"
"370","UPE","BAB370"
"371","URU","BAB371"
"372","UTE","BAB372"
"373","VAA","BAB373"
"374","VAD","BAB374"
"375","VAI","BAB375"
"376","VAP","BAB376"
"377","VAQ","BAB377"
"378","VAT","BAB378"
"379","VAU","BAB379"
"380","VAZ","BAB380"
"381","VEB","BAB381"
"382","VEH","BAB382"
"383","VEI","BAB383"
"384","VEL","BAB384"
"385","VES","BAB385"
"386","VEX","BAB386"
"387","VIA","BAB387"
"388","VIB","BAB388"
"389","VIG","BAB389"
"390","VIN","BAB390"
"391","VIO","BAB391"
"392","VIV","BAB392"
"393","VOG","BAB393"
"394","VOM","BAB394"
"395","VOR","BAB395"
"396","VOT","BAB396"
"397","VOW","BAB397"
"398","VOY","BAB398"
"399","VUG","BAB399"
"400","VUR","BAB400"
"401","WAB","BAB401"
"402","WAD","BAB402"
"403","WAG","BAB403"
"404","WAJ","BAB404"
"405","WAM","BAB405"
"406","WAP","BAB406"
"407","WAQ","BAB407"
"408","WAS","BAB408"
"409","WAW","BAB409"
"410","WEA","BAB410"
"411","WED","BAB411"
"412","WEG","BAB412"
"413","WEI","BAB413"
"414","WEK","BAB414"
"415","WEM","BAB415"
"416","WEN","BAB416"
"417","WER","BAB417"
"418","WES","BAB418"
"419","WEU","BAB419"
"420","WEW","BAB420"
"421","WEX","BAB421"
"422","WEY","BAB422"
"423","WEZ","BAB423"
"424","WHE","BAB424"
"425","WHO","BAB425"
"426","WID","BAB426"
"427","WIE","BAB427"
"428","WIF","BAB428"
"429","WIP","BAB429"
"430","WIR","BAB430"
"431","WIV","BAB431"
"432","WIW","BAB432"
"433","WIZ","BAB433"
"434","WOB","BAB434"
"435","WOC","BAB435"
"436","WOF","BAB436"
"437","WOI","BAB437"
"438","WOK","BAB438"
"439","WOL","BAB439"
"440","WON","BAB440"
"441","WOO","BAB441"
"442","WOP","BAB442"
"443","WOR","BAB443"
"444","WOV","BAB444"
"445","WOZ","BAB445"
"446","WRA","BAB446"
"447","WRE","BAB447"
"448","WRI","BAB448"
"449","WRY","BAB449"
"450","WUA","BAB450"
"451","WUM","BAB451"
"452","WUN","BAB452"
"453","WUT","BAB453"
"454","WYA","BAB454"
"455","WYC","BAB455"
"456","WYL","BAB456"
"457","WYN","BAB457"
"458","WYO","BAB458"
"459","YAI","BAB459"
"460","YAN","BAB460"
"461","YAP","BAB461"
"462","YAR","BAB462"
"463","YAY","BAB463"
"464","YAZ","BAB464"
"465","YED","BAB465"
"466","YEL","BAB466"
"467","YEN","BAB467"
"468","YIP","BAB468"
"469","YOD","BAB469"
"470","YOG","BAB470"
"471","YOI","BAB471"
"472","YOK","BAB472"
"473","YOL","BAB473"
"474","YUG","BAB474"
"475","YUM","BAB475"
"476","ZIM","BAB476"
"477","ZIT","BAB477"
"478","ZUC","BAB478"
"479","ZUR","BAB479"
